Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Parking,id,Provincia,Región,rango_baths,rango_dormitorios,rango_parqueos
186061,maipu,LosRomanos,4,1,85.0,1,11660507,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
182382,estacioncentral,vecinal,4,3,121.0,3,11660462,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
354570,lascondes,TomasMoro-LosPozos,4,3,128.0,1,6526312,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
1240996,providencia,Bustos2526,5,3,250.0,8,11660346,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
164384,maipu,CapellanFlorencioInfanteYC62467/C.LaCelestina,3,3,86.0,0,11660249,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
341274,lareina,HospitalMilitar/RegistroCivil/Larrain,3,3,110.0,2,9383191,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
74720,loespejo,CasaAisladaenLoSierra,3,1,139.0,0,8295118,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
731301,vitacura,rotondaIreneFrei,4,3,158.0,2,5692196,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
70914,huechuraba,Apasosdeciudadempresarial,5,1,130.0,0,11296020,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
1196675,providencia,ColegioSanIgnacio,4,3,300.0,0,7387736,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
423412,loespejo,Am-55054avloespejo/autopistacentral,8,2,470.0,1,5923212,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
141828,macul,FroilanRoa-CampusSanJoaquin,4,1,79.0,0,7366627,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
154681,maipu,Maipú,5,1,56.0,2,10720519,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
109474,loprado,LagoRiñihue,5,1,117.0,2,9128030,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
279224,laflorida,Ventacasalaflorida,3,4,107.0,1,10641870,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
778282,lareina,lasperdices,10,4,222.0,6,5159920,Santiago,Metropolitana de Santiago,1-5,6-10,6-10
222914,recoleta,SantiagoCandelariaPerez,4,3,243.0,0,8438328,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
176842,cerrillos,Valdivieso-Mirador,3,1,75.0,2,9836403,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
629362,penalolen,ClubdeCampodeCarabineros,4,3,170.0,3,9560445,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
161773,cerrillos,GeneralJoséBernalesRamírez,2,1,80.0,1,8394131,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
607202,lobarnechea,Lagoleman,4,4,150.0,2,8496762,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
1108032,quintanormal,Radal/nuevaimperial,4,2,217.0,4,9179639,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
136986,nunoa,Noespecifica,4,2,120.0,1,11319774,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
255293,cerrillos,Aeropuertopichoy3116,5,3,140.0,0,10550786,Santiago,Metropolitana de Santiago,1-5,1-5,1-5
